PSS_SCHOOL_ID,PSS_INST,LoGrade,HiGrade,PSS_ADDRESS,PSS_CITY,PSS_COUNTY_NO,PSS_COUNTY_FIPS,PSS_STABB,PSS_FIPS,PSS_ZIP5,PSS_PHONE,PSS_SCH_DAYS,PSS_STU_DAY_HRS,PSS_LIBRARY,PSS_ENROLL_UG,PSS_ENROLL_PK,PSS_ENROLL_K,PSS_ENROLL_1,PSS_ENROLL_2,PSS_ENROLL_3,PSS_ENROLL_4,PSS_ENROLL_5,PSS_ENROLL_6,PSS_ENROLL_7,PSS_ENROLL_8,PSS_ENROLL_9,PSS_ENROLL_10,PSS_ENROLL_11,PSS_ENROLL_12,PSS_ENROLL_T,PSS_ENROLL_TK12,PSS_RACE_AI,PSS_RACE_AS,PSS_RACE_H,PSS_RACE_B,PSS_RACE_W,PSS_RACE_P,PSS_RACE_2,PSS_FTE_TEACH,PSS_LOCALE,PSS_COED,PSS_TYPE,PSS_LEVEL,PSS_RELIG,PSS_COMM_TYPE,PSS_INDIAN_PCT,PSS_ASIAN_PCT,PSS_HISP_PCT,PSS_BLACK_PCT,PSS_WHITE_PCT,PSS_PACISL_PCT,PSS_TWOMORE_PCT,PSS_STDTCH_RT,PSS_ORIENT,PSS_COUNTY_NAME,PSS_ASSOC_1,PSS_ASSOC_2,PSS_ASSOC_3,PSS_ASSOC_4,PSS_ASSOC_5,PSS_ASSOC_6,PSS_ASSOC_7,PSS_ASSOC_8,PSS_ASSOC_9,PSS_ASSOC_10,PSS_ASSOC_11,PSS_ASSOC_12,PSS_ASSOC_13,PSS_ASSOC_14,PSS_ASSOC_15
A2100223,ST DOMINIC SAVIO ACADEMY,2,4,550 W WARNER RD,CHANDLER,4013,13,AZ,4,85225,4806595456,206,6.5,Yes,26,11,6,,,,,,,,,,,,,43,32,,,4,2,,,,3,11,1,4,1,3,1,,,12.5,6.25,,,,10.66,30,MARICOPA,School does not belong to ANY associations or organizations,,,,,,,,,,,,,,
A1900147,ST ELIZABETH ANN SETON SCHOOL,2,13,8650 N SHANNON RD,TUCSON,4019,19,AZ,4,85742,5202197629,180,7,Yes,,51,25,29,32,32,30,33,28,36,36,,,,,332,281,0,12,156,4,106,0,3,20.9,21,1,1,1,1,2,0,4.27,55.51,1.42,37.72,0,1.06,13.44,1,PIMA,National Catholic Educational Association (NCEA),Other school association(s),,,,,,,,,,,,,
31061,ST FRANCIS OF ASSISI SCHOOL,2,13,700 W 18TH ST,YUMA,4027,27,AZ,4,85364,9287821539,180,7.25,Yes,,13,23,25,25,26,26,26,30,27,25,,,,,246,233,1,3,137,3,81,4,4,12,13,1,1,1,1,1,0.42,1.28,58.79,1.28,34.76,1.71,1.71,19.41,1,YUMA,National Catholic Educational Association (NCEA),,,,,,,,,,,,,,
31345,ST GREGORY ELEMENTARY SCHOOL,2,13,3440 N 18TH AVE,PHOENIX,4013,13,AZ,4,85015,6022669527,180,6.75,Yes,,35,25,34,41,40,34,32,37,41,34,,,,,353,318,2,9,260,14,29,0,4,19.4,11,1,1,1,1,1,0.62,2.83,81.76,4.4,9.11,0,1.25,16.39,1,MARICOPA,National Catholic Educational Association (NCEA),,,,,,,,,,,,,,
A1990034,ST GREGORY SCHOOL,2,13,3440 N 18TH AVE,PHOENIX,4013,13,AZ,4,85015,6022669527,180,6.5,Yes,,38,26,34,41,40,34,32,37,41,34,,,,,357,319,3,10,251,16,34,0,5,19.4,11,1,1,1,1,1,0.94,3.13,78.68,5.01,10.65,0,1.56,16.44,1,MARICOPA,School does not belong to ANY associations or organizations,,,,,,,,,,,,,,
31334,ST JEROME ELEMENTARY SCHOOL,2,13,10815 N 35TH AVE,PHOENIX,4013,13,AZ,4,85029,6029425644,180,7.5,Yes,,19,42,20,20,21,10,15,17,25,25,,,,,214,195,0,14,115,10,50,1,5,11,11,1,1,1,1,1,0,7.17,58.97,5.12,25.64,0.51,2.56,17.72,1,MARICOPA,National Catholic Educational Association (NCEA),,,,,,,,,,,,,,
A0500090,ST JOHN BOSCO CATHOLIC,2,13,16035 S 48TH ST,PHOENIX,4013,13,AZ,4,85048,4802194848,180,7.16,Yes,,51,37,41,48,41,28,20,40,18,33,,,,,357,306,7,16,106,5,151,2,19,17.9,11,1,1,1,1,1,2.28,5.22,34.64,1.63,49.34,0.65,6.2,17.09,1,MARICOPA,National Catholic Educational Association (NCEA),,,,,,,,,,,,,,
A2190044,ST JOHN PAUL II CATHOLIC HIGH SCHOOL,14,17,3120 N 137TH AVE,AVONDALE,4013,13,AZ,4,85392,6232332777,183,6.5,Yes,,,,,,,,,,,,106,74,69,84,333,333,0,23,235,4,53,1,17,24.6,22,1,1,2,1,2,0,6.9,70.57,1.2,15.91,0.3,5.1,13.53,1,MARICOPA,Other religious school association(s),,,,,,,,,,,,,,
A2100224,ST JOHN PAUL II ROMAN CATHOLIC HIGH SCHOOL,14,17,3120 N 137TH AVE,AVONDALE,4013,13,AZ,4,85392,6232332777,182,6.5,Yes,,,,,,,,,,,,106,74,69,84,333,333,0,22,237,4,52,1,17,27.6,22,1,3,2,1,2,0,6.6,71.17,1.2,15.61,0.3,5.1,12.06,1,MARICOPA,School does not belong to ANY associations or organizations,,,,,,,,,,,,,,
31006,ST JOHN THE EVANGELIST CATHOLIC SCHOOL,3,13,600 W AJO WAY,TUCSON,4019,19,AZ,4,85713,5206243865,190,7.33,No,,,38,47,36,44,50,31,45,48,36,,,,,375,375,3,0,368,2,2,0,0,21.6,11,1,1,1,1,1,0.8,0,98.13,0.53,0.53,0,0,17.36,1,PIMA,National Catholic Educational Association (NCEA),,,,,,,,,,,,,,
